Lead Gene name	Lead Protein ID	Lead Protein name	Mol. weight [kDa]	Sequence length (AA)	Total MS/MS Count	Organellar profiles in how many maps?	Compartment Prediction	Prediction Confidence	Prediction Score	Sub compart-ment Prediction	Cytosolic Pool	Non-cytosolic pool1 	Global classifier2	Estimated Copy number per cell	Copy number Abundance Percentile	Median cellular con-centration [nM]	 Contribution to cell protein mass [ppm]
MBOAT1	Q6ZNC8	Lysophospholipid acyltransferase 1	56.6	495	146	2	ER	Very Low	0.9	Membrane	0%	100%	Mostly Organellar	11,222	20.3	6.9	2.0
MGST1	P10620	Microsomal glutathione S-transferase 1	17.6	155	1108	6	ER	Very Low	0.6		0%	100%	Mostly Organellar	2,150,454	92.0	1330.3	117.6
NDC1	Q9BTX1	Nucleoporin NDC1	76.3	674	1073	6	ER	Very Low	0.9	Membrane	0%	100%	Broad distribution	203,162	64.4	125.7	48.2
NUS1	Q96E22	Dehydrodolichyl diphosphate syntase complex subunit NUS1	33.2	293	121	2	ER	Very Low	0.7	Membrane	0%	100%	Mostly Organellar	23,785	30.1	14.7	2.5
OLFML2A	Q68BL7	Olfactomedin-like protein 2A	73.1	652	110	3	ER	Very Low	0.5	Membrane	0%	100%	Mostly Organellar	9,477	18.3	5.9	2.2
ORMDL3	Q8N138	ORM1-like protein 3	17.5	153	147	2	ER	Very Low	0.7	Membrane	0%	100%	Mostly Organellar	29,277	33.3	18.1	1.6
PDE3B	Q13370	cGMP-inhibited 3,5-cyclic phosphodiesterase B	124.3	1112	367	5	ER	Very Low	0.6	Membrane	0%	100%	Mostly Organellar	11,437	20.4	7.1	4.4
PHYH	O14832	Phytanoyl-CoA dioxygenase, peroxisomal	38.5	338	146	1	ER	Very Low	0.4	Lumen	0%	100%	Mostly Organellar	16,005	24.6	9.9	1.9
PRR11	Q96HE9	Proline-rich protein 11	40.1	360	150	3	ER	Very Low	0.8		0%	100%	Mostly Organellar	18,536	26.6	11.5	2.3
QPCTL	Q9NXS2	Glutaminyl-peptide cyclotransferase-like protein	42.9	382	388	6	ER	Very Low	0.7		0%	100%	Mostly Organellar	85,967	50.6	53.2	11.5
RNF185	Q96GF1	E3 ubiquitin-protein ligase RNF185	20.5	192	135	1	ER	Very Low	0	Membrane	0%	100%	Mostly Organellar	42,737	38.9	26.4	2.7
SENP8	Q96LD8	Sentrin-specific protease 8	24.1	212	66	1	ER	Very Low	0.8	Membrane	3%	97%	Mostly Organellar	140,498	58.5	86.9	10.5
SGSH	P51688	N-sulphoglucosamine sulphohydrolase	56.7	502	220	2	ER	Very Low	0.2	Membrane	0%	100%	Mostly Organellar	12,185	21.2	7.5	2.1
SLC27A1	Q6PCB7	Long-chain fatty acid transport protein 1	71.1	646	78	1	ER	Very Low	0.4	Membrane	5%	95%	Mostly Organellar	10,921	19.9	6.8	2.4
SREBF2	Q12772	Sterol regulatory element-binding protein 2	123.7	1141	166	2	ER	Very Low	0	Membrane	5%	95%	Mostly Organellar	8,655	17.0	5.4	3.3
TAPT1	Q6NXT6	Transmembrane anterior posterior transformation protein 1 homolog	64.3	567	124	1	ER	Very Low	0.2	Lumen	0%	100%	Mostly Organellar	8,334	16.7	5.2	1.7
TMEM147	Q9BVK8	Transmembrane protein 147	25.3	224	102	1	ER	Very Low	0.3	Membrane	0%	100%	Mostly Organellar	38,144	37.3	23.6	3.0
TMEM161B	Q8NDZ6	Transmembrane protein 161B	55.5	487	137	1	ER	Very Low	0.3	Lumen	0%	100%	Mostly Organellar	10,035	18.9	6.2	1.7
TMEM189	A5PLL7	Transmembrane protein 189	31.1	270	137	3	ER	Very Low	0.9	Membrane	0%	100%	Mostly Organellar	49,581	41.3	30.7	4.8
TMEM248	Q9NWD8	Transmembrane protein 248	35.1	314	49	1	ER	Very Low	0.3	Membrane	0%	100%	Mostly Organellar	4,140	10.1	2.6	0.5
TMEM41A	Q96HV5	Transmembrane protein 41A	29.7	264	120	1	ER	Very Low	0.8	Lumen	0%	100%	Mostly Organellar	64,664	45.5	40.0	6.0
TMPPE	Q6ZT21	Transmembrane protein with metallophosphoesterase domain	49.5	453	101	1	ER	Very Low	0.6	Membrane	0%	100%	Mostly Organellar	9,327	18.0	5.8	1.4
UNC93B1	Q9H1C4	Protein unc-93 homolog B1	66.6	597	154	2	ER	Very Low	0.8	Membrane	0%	100%	Mostly Organellar	6,200	13.6	3.8	1.3
ARL6IP1	Q15041	ADP-ribosylation factor-like protein 6-interacting protein 1	23.4	203	383	6	ER_high_curvature	Very High	63.4		11%	89%	Mostly Organellar	690,056	81.7	426.9	50.1
ATL2	Q8NHH9	Atlastin-2	66.2	583	1568	6	ER_high_curvature	Very High	70.7		7%	93%	Mostly Organellar	225,647	66.1	139.6	46.5
MCTP2	Q6DN12	Multiple C2 and transmembrane domain-containing protein 2	99.6	878	541	6	ER_high_curvature	Very High	58.3		0%	100%	Mostly Organellar	21,303	28.4	13.2	6.6
PTPN2	P17706	Tyrosine-protein phosphatase non-receptor type 2	48.5	415	737	6	ER_high_curvature	Very High	54.6		31%	69%	Organellar and Cytosolic	145,733	59.0	90.2	22.0
REEP4	Q9H6H4	Receptor expression-enhancing protein 4	29.4	257	294	6	ER_high_curvature	Very High	59.1		6%	94%	Mostly Organellar	143,011	58.8	88.5	13.1
REEP5	Q00765	Receptor expression-enhancing protein 5	21.5	189	809	6	ER_high_curvature	Very High	77.8		6%	94%	Mostly Organellar	1,554,838	89.6	961.9	103.9
RTN1	Q16799	Reticulon-1	83.6	776	283	6	ER_high_curvature	Very High	57.6		9%	91%	Mostly Organellar	160,861	60.7	99.5	41.8
RTN3	O95197	Reticulon-3	112.6	1032	668	6	ER_high_curvature	Very High	55		9%	91%	Mostly Organellar	181,945	62.7	112.6	63.7
DNAJC5	Q9H3Z4	DnaJ homolog subfamily C member 5	22.1	198	483	6	ER_high_curvature	High	19		3%	97%	Mostly Organellar	198,046	63.9	122.5	13.6
ENDOD1	O94919	Endonuclease domain-containing 1 protein	55.0	500	891	6	ER_high_curvature	High	19.5		1%	99%	Mostly Organellar	108,396	54.7	67.1	18.5
FAM134A	Q8NC44	Protein FAM134A	57.8	543	176	5	ER_high_curvature	High	29.5		2%	98%	Mostly Organellar	17,363	25.6	10.7	3.1
OSBPL3	Q9H4L5	Oxysterol-binding protein-related protein 3	101.2	887	483	6	ER_high_curvature	High	21		74%	26%	Organellar and Cytosolic	70,879	47.2	43.8	22.3
RAB18	Q9NP72	Ras-related protein Rab-18	23.0	206	1544	6	ER_high_curvature	High	17.2		15%	85%	Organellar and Cytosolic	972,671	85.5	601.7	69.5
RAB21	Q9UL25	Ras-related protein Rab-21	24.3	225	1218	6	ER_high_curvature	High	24		20%	80%	Organellar and Cytosolic	969,114	85.5	599.5	73.4
REEP3	Q6NUK4	Receptor expression-enhancing protein 3	29.3	255	203	5	ER_high_curvature	High	25.1		4%	96%	Mostly Organellar	31,796	34.4	19.7	2.9
GPR89A	B7ZAQ6	Golgi pH regulator A	52.9	455	333	6	ER_high_curvature	Medium	5.7		0%	100%	Mostly Organellar	43,510	39.2	26.9	7.2
LRCH4	O75427	Leucine-rich repeat and calponin homology domain-containing protein 4	73.4	683	247	6	ER_high_curvature	Medium	6.3		0%	100%	Mostly Organellar	10,504	19.4	6.5	2.4
PDZD8	Q8NEN9	PDZ domain-containing protein 8	128.6	1154	561	6	ER_high_curvature	Medium	8.1		1%	99%	Mostly Organellar	20,668	27.9	12.8	8.3
PIGG	Q5H8A4	GPI ethanolamine phosphate transferase 2	108.2	983	401	6	ER_high_curvature	Medium	8.4		0%	100%	Mostly Organellar	21,116	28.3	13.1	7.1
PRSS56	P0CW18	Serine protease 56	64.6	603	2307	6	ER_high_curvature	Medium	6		4%	96%	Mostly Organellar	409,248	75.1	253.2	82.2
RAB12	Q6IQ22	Ras-related protein Rab-12	27.2	244	1024	6	ER_high_curvature	Medium	12.4		19%	81%	Organellar and Cytosolic	272,309	69.1	168.5	23.1
RAB30	Q15771	Ras-related protein Rab-30	23.1	203	240	6	ER_high_curvature	Medium	14.7		7%	93%	Mostly Organellar	50,907	41.7	31.5	3.6
RABL3	Q5HYI8	Rab-like protein 3	26.4	236	564	6	ER_high_curvature	Medium	9.4		2%	98%	Mostly Organellar	143,719	58.8	88.9	11.8
REEP6	Q96HR9	Receptor expression-enhancing protein 6	20.7	184	202	6	ER_high_curvature	Medium	13		4%	96%	Mostly Organellar	192,557	63.4	119.1	12.4
RTN2	O75298	Reticulon-2	59.3	545	76	4	ER_high_curvature	Medium	9		0%	100%	Mostly Organellar	5,517	12.5	3.4	1.0
RTN4	Q9NQC3	Reticulon-4	129.9	1192	4399	6	ER_high_curvature	Medium	10		10%	90%	Mostly Organellar	686,058	81.7	424.4	277.1
SCFD1	Q8WVM8	Sec1 family domain-containing protein 1	72.4	642	2357	6	ER_high_curvature	Medium	5.9		8%	92%	Mostly Organellar	231,367	66.5	143.1	52.1
SEC22B	O75396	Vesicle-trafficking protein SEC22b	24.6	215	2805	6	ER_high_curvature	Medium	8.2		2%	98%	Mostly Organellar	4,777,206	96.1	2955.3	365.2
ZFYVE27	Q5T4F4-8	Protrudin	41.4	372	178	6	ER_high_curvature	Medium	8.5		0%	100%	Mostly Organellar	9,404	18.1	5.8	1.2
ATL3	Q6DD88	Atlastin-3	60.5	541	3972	6	ER_high_curvature	Low	3.7		5%	95%	Mostly Organellar	1,226,999	87.6	759.0	230.9
FAM134C	Q86VR2	Protein FAM134C	51.4	466	122	4	ER_high_curvature	Low	3.3		0%	100%	Mostly Organellar	20,055	27.5	12.4	3.2
HSPA6	P17066	Heat shock 70 kDa protein 6	71.0	643	323	6	ER_high_curvature	Low	1.7		60%	40%	Organellar and Cytosolic	2,060,595	91.7	1274.7	455.0
OSBPL10	Q9BXB5	Oxysterol-binding protein-related protein 10	84.0	764	555	6	ER_high_curvature	Low	3.3		61%	39%	Organellar and Cytosolic	66,270	45.9	41.0	17.3
RAB5A	P20339	Ras-related protein Rab-5A	23.7	215	627	6	ER_high_curvature	Low	1.1		35%	65%	Organellar and Cytosolic	176,888	62.2	109.4	13.0
RAB5C	P51148	Ras-related protein Rab-5C	23.5	216	2910	6	ER_high_curvature	Low	2.4		38%	62%	Organellar and Cytosolic	3,521,516	94.8	2178.5	257.1
STBD1	O95210	Starch-binding domain-containing protein 1	39.0	358	506	6	ER_high_curvature	Low	1.5		0%	100%	Mostly Organellar	43,462	39.2	26.9	5.3
TEX2	Q8IWB9	Testis-expressed sequence 2 protein	125.3	1127	373	6	ER_high_curvature	Low	1		5%	95%	Mostly Organellar	53,225	42.4	32.9	20.7
ZW10	O43264	Centromere/kinetochore protein zw10 homolog	88.8	779	1052	6	ER_high_curvature	Low	1.4		82%	18%	Broad distribution	201,908	64.2	124.9	55.8
BAG2	O95816	BAG family molecular chaperone regulator 2	23.8	211	1697	6	ER_high_curvature	Very Low	0.9		63%	37%	Organellar and Cytosolic	4,001,661	95.3	2475.5	295.7
BAG5	Q9UL15	BAG family molecular chaperone regulator 5	51.2	447	201	4	ER_high_curvature	Very Low	0.8		77%	23%	Broad distribution	90,869	51.5	56.2	14.5
DESI2	Q9BSY9	Desumoylating isopeptidase 2	21.4	194	105	2	ER_high_curvature	Very Low	0.3		37%	63%	Organellar and Cytosolic	31,943	34.5	19.8	2.1
PAM	P19021	Peptidyl-glycine alpha-amidating monooxygenase	108.3	973	111	4	ER_high_curvature	Very Low	0.8		0%	100%	Mostly Organellar	2,578	6.4	1.6	0.9
RAB5B	P61020	Ras-related protein Rab-5B	23.7	215	912	6	ER_high_curvature	Very Low	0.8		40%	60%	Organellar and Cytosolic	428,113	75.7	264.8	31.6
RTN3	O95197-3	Reticulon-3	25.6	236	110	1	ER_high_curvature	Very Low	0.9		12%	88%	Mostly Organellar	36,015	36.3	22.3	2.9
SEMA3B	Q13214	Semaphorin-3B	83.1	749	526	6	ER_high_curvature	Very Low	0.5		1%	99%	Mostly Organellar	35,301	36.0	21.8	9.1
BET1	O15155	BET1 homolog	13.3	118	567	6	Ergic/cisGolgi	Very High	72.9		5%	95%	Mostly Organellar	350,110	72.8	216.6	14.5
ERP44	Q9BS26	Endoplasmic reticulum resident protein 44	47.0	406	2258	6	Ergic/cisGolgi	Very High	53.7		14%	86%	Mostly Organellar	841,085	84.2	520.3	122.8
GOLT1B	Q9Y3E0	Vesicle transport protein GOT1B	15.4	138	267	6	Ergic/cisGolgi	Very High	60.4		4%	96%	Mostly Organellar	270,484	68.9	167.3	13.0
GOSR2	O14653	Golgi SNAP receptor complex member 2	24.8	212	720	6	Ergic/cisGolgi	Very High	82.5		0%	100%	Mostly Organellar	193,944	63.6	120.0	14.9
KDELR2	P33947	ER lumen protein-retaining receptor 2	24.4	212	398	6	Ergic/cisGolgi	Very High	80		9%	91%	Mostly Organellar	330,127	72.2	204.2	25.1
LMAN2	Q12907	Vesicular integral-membrane protein VIP36	40.2	356	2541	6	Ergic/cisGolgi	Very High	52.8		5%	95%	Mostly Organellar	1,458,350	89.1	902.2	182.4
SPRYD7	Q5W111	SPRY domain-containing protein 7	21.7	196	551	6	Ergic/cisGolgi	Very High	54.9		7%	93%	Mostly Organellar	146,596	59.1	90.7	9.9
STX5	Q13190	Syntaxin-5	39.7	355	1059	6	Ergic/cisGolgi	Very High	62.1		5%	95%	Mostly Organellar	181,590	62.7	112.3	22.4
TMED10	P49755	Transmembrane emp24 domain-containing protein 10	25.0	219	2531	6	Ergic/cisGolgi	Very High	72.4		6%	94%	Mostly Organellar	2,789,787	93.5	1725.8	216.6
TMED2	Q15363	Transmembrane emp24 domain-containing protein 2	22.8	201	3099	6	Ergic/cisGolgi	Very High	78.1		4%	96%	Mostly Organellar	3,139,012	94.2	1941.9	222.1
TMED3	Q9Y3Q3	Transmembrane emp24 domain-containing protein 3	24.8	217	942	6	Ergic/cisGolgi	Very High	63		2%	98%	Mostly Organellar	371,696	73.7	229.9	28.6
TMED4	Q7Z7H5	Transmembrane emp24 domain-containing protein 4	25.9	227	1793	6	Ergic/cisGolgi	Very High	55.2		7%	93%	Mostly Organellar	1,264,896	87.9	782.5	102.0
TMED9	Q9BVK6	Transmembrane emp24 domain-containing protein 9	27.3	235	870	6	Ergic/cisGolgi	Very High	56.9		3%	97%	Mostly Organellar	790,707	83.6	489.1	67.1
ERGIC1	Q969X5	Endoplasmic reticulum-Golgi intermediate compartment protein 1	32.6	290	1688	6	Ergic/cisGolgi	High	43.1		5%	95%	Mostly Organellar	1,373,511	88.6	849.7	139.2
ERGIC2	Q96RQ1	Endoplasmic reticulum-Golgi intermediate compartment protein 2	42.5	377	685	6	Ergic/cisGolgi	High	25.5		1%	99%	Mostly Organellar	174,881	62.0	108.2	23.1
GLE1	Q53GS7	Nucleoporin GLE1	79.8	698	651	6	Ergic/cisGolgi	High	21.2		1%	99%	Broad distribution	139,392	58.4	86.2	34.6
IER3IP1	Q9Y5U9	Immediate early response 3-interacting protein 1	9.0	82	235	6	Ergic/cisGolgi	High	40.9		0%	100%	Mostly Organellar	185,180	62.9	114.6	5.2
LMAN2L	Q9H0V9	VIP36-like protein	39.7	348	717	6	Ergic/cisGolgi	High	17.2		0%	100%	Mostly Organellar	142,240	58.7	88.0	17.6
MCFD2	Q8NI22-2	Multiple coagulation factor deficiency protein 2	10.7	94	521	6	Ergic/cisGolgi	High	36.5		11%	89%	Mostly Organellar	878,949	84.6	543.7	29.3
RAB1A	P62820	Ras-related protein Rab-1A	22.7	205	4009	6	Ergic/cisGolgi	High	18.8		31%	69%	Organellar and Cytosolic	7,831,506	97.4	4844.7	552.1
RAB1B	Q9H0U4	Ras-related protein Rab-1B	22.2	201	961	6	Ergic/cisGolgi	High	21.9		50%	50%	Organellar and Cytosolic	1,270,538	87.9	786.0	87.6
SURF4	O15260	Surfeit locus protein 4	30.4	269	585	6	Ergic/cisGolgi	High	43.9		3%	97%	Mostly Organellar	379,962	74.1	235.1	35.9
TMED5	Q9Y3A6	Transmembrane emp24 domain-containing protein 5	26.0	229	801	6	Ergic/cisGolgi	High	38.1		4%	96%	Mostly Organellar	579,284	79.6	358.4	46.8
TMEM181	Q9P2C4	Transmembrane protein 181	69.3	612	117	6	Ergic/cisGolgi	High	42.4		0%	100%	Mostly Organellar	8,255	16.5	5.1	1.8
TSPAN13	O95857	Tetraspanin-13	22.1	204	346	6	Ergic/cisGolgi	High	16		2%	98%	Mostly Organellar	147,690	59.3	91.4	10.2
ANKH	Q9HCJ1	Progressive ankylosis protein homolog	54.2	492	193	6	Ergic/cisGolgi	Medium	12.8		0%	100%	Mostly Organellar	18,317	26.3	11.3	3.1
CCNB2	O95067	G2/mitotic-specific cyclin-B2	45.3	398	587	6	Ergic/cisGolgi	Medium	6.7		13%	87%	Mostly Organellar	86,445	50.7	53.5	12.2
CNIH4	Q9P003	Protein cornichon homolog 4	16.1	139	539	6	Ergic/cisGolgi	Medium	9.9		1%	99%	Mostly Organellar	500,662	77.6	309.7	25.0
ERGIC3	Q9Y282	Endoplasmic reticulum-Golgi intermediate compartment protein 3	43.2	383	1217	6	Ergic/cisGolgi	Medium	4.9		2%	98%	Mostly Organellar	361,879	73.3	223.9	48.6
GPR180	Q86V85	Integral membrane protein GPR180	49.4	440	331	6	Ergic/cisGolgi	Medium	6.5		0%	100%	Mostly Organellar	27,913	32.5	17.3	4.3
LMAN1	P49257	Protein ERGIC-53	57.5	510	2504	6	Ergic/cisGolgi	Medium	15.2		5%	95%	Mostly Organellar	1,075,865	86.4	665.6	192.5
NSF	P46459	Vesicle-fusing ATPase	82.6	744	3739	6	Ergic/cisGolgi	Medium	12.2		9%	91%	Mostly Organellar	589,965	79.9	365.0	151.5
NUCB2	P80303	Nucleobindin-2	50.2	420	2724	6	Ergic/cisGolgi	Medium	9.3		4%	96%	Mostly Organellar	553,842	79.1	342.6	86.4
NUPL2	O15504	Nucleoporin-like protein 2	44.9	423	255	6	Ergic/cisGolgi	Medium	5.9		1%	99%	Broad distribution	71,342	47.3	44.1	10.0
NXF1	Q9UBU9	Nuclear RNA export factor 1	70.2	619	1247	6	Ergic/cisGolgi	Medium	4.7		5%	95%	Broad distribution	544,299	78.9	336.7	118.8
NXT1	Q9UKK6	NTF2-related export protein 1	15.8	140	139	2	Ergic/cisGolgi	Medium	5.3		8%	92%	Broad distribution	221,187	65.7	136.8	10.9
RAB2A	P61019	Ras-related protein Rab-2A	23.5	212	2825	6	Ergic/cisGolgi	Medium	6.3		17%	83%	Organellar and Cytosolic	4,398,621	95.8	2721.1	322.0
RAB2B	Q8WUD1	Ras-related protein Rab-2B	24.2	216	219	6	Ergic/cisGolgi	Medium	5.9		5%	95%	Mostly Organellar	28,250	32.7	17.5	2.1
RAB43	Q86YS6	Ras-related protein Rab-43	23.3	212	238	6	Ergic/cisGolgi	Medium	11.9		32%	68%	Broad distribution	236,506	67.0	146.3	17.2
RER1	O15258	Protein RER1	23.0	196	670	6	Ergic/cisGolgi	Medium	4.7		8%	92%	Mostly Organellar	366,453	73.5	226.7	26.2
TAOK2	Q9UL54-2	Serine/threonine-protein kinase TAO2	119.3	1049	270	6	Ergic/cisGolgi	Medium	12.1		0%	100%	Mostly Organellar	10,167	19.0	6.3	3.8
TMED1	Q13445	Transmembrane emp24 domain-containing protein 1	25.2	227	760	6	Ergic/cisGolgi	Medium	11.8		3%	97%	Mostly Organellar	281,182	69.6	173.9	22.0
VPS54	Q9P1Q0	Vacuolar protein sorting-associated protein 54	110.6	977	90	3	Ergic/cisGolgi	Medium	4.9		0%	100%	Mostly Organellar	2,987	7.4	1.8	1.0
YIF1B	Q5BJH7-2	Protein YIF1B	31.2	283	104	5	Ergic/cisGolgi	Medium	12.8		0%	100%	Mostly Organellar	11,086	20.1	6.9	1.1
YIF1B	Q5BJH7	Protein YIF1B	34.4	314	290	6	Ergic/cisGolgi	Medium	9.7		4%	96%	Mostly Organellar	71,530	47.3	44.2	7.7
YIPF5	Q969M3	Protein YIPF5	28.0	257	256	6	Ergic/cisGolgi	Medium	7		4%	96%	Mostly Organellar	203,691	64.4	126.0	17.7
CDK17	Q00537	Cyclin-dependent kinase 17	59.6	523	100	5	Ergic/cisGolgi	Low	2.4		45%	55%	Organellar and Cytosolic	17,828	26.0	11.0	3.3
DNM2	P50570	Dynamin-2	98.1	870	4054	6	Ergic/cisGolgi	Low	1.6		10%	90%	Mostly Organellar	623,229	80.6	385.5	190.0
DOCK10	Q96BY6-3	Dedicator of cytokinesis protein 10	249.5	2180	238	6	Ergic/cisGolgi	Low	1.7		2%	98%	Mostly Organellar	7,131	14.9	4.4	5.5
DST	Q03001	Dystonin	860.7	7570	3856	6	Ergic/cisGolgi	Low	1.2		18%	82%	Broad distribution	71,185	47.3	44.0	190.5
ECHDC1	Q9NTX5	Ethylmalonyl-CoA decarboxylase	33.7	307	730	6	Ergic/cisGolgi	Low	1.1		55%	45%	Organellar and Cytosolic	437,836	76.1	270.9	45.9
NAPA	P54920	Alpha-soluble NSF attachment protein	33.2	295	2655	6	Ergic/cisGolgi	Low	1.9		55%	45%	Organellar and Cytosolic	1,596,959	89.8	987.9	165.0
POLE	Q07864	DNA polymerase epsilon catalytic subunit A	261.5	2286	628	6	Ergic/cisGolgi	Low	1.4		68%	32%	Broad distribution	37,585	37.0	23.3	30.6
SEC22A	Q96IW7	Vesicle-trafficking protein SEC22a	34.9	307	222	6	Ergic/cisGolgi	Low	1.3		0%	100%	Mostly Organellar	33,527	35.2	20.7	3.6
SEH1L	Q96EE3-1	Nucleoporin SEH1	46.6	421	1686	6	Ergic/cisGolgi	Low	1.7		21%	79%	Broad distribution	886,161	84.7	548.2	128.3
SEMA3F	Q13275	Semaphorin-3F	88.4	785	109	4	Ergic/cisGolgi	Low	1.4		0%	100%	Mostly Organellar	7,992	16.2	4.9	2.2
SGK1	O00141	Serine/threonine-protein kinase Sgk1	48.9	431	134	2	Ergic/cisGolgi	Low	1.8		53%	47%	Organellar and Cytosolic	17,734	25.9	11.0	2.7
SLC38A1	Q9H2H9	Sodium-coupled neutral amino acid transporter 1	54.0	487	922	6	Ergic/cisGolgi	Low	1		3%	97%	Mostly Organellar	695,447	82.0	430.2	116.9
STX10	O60499	Syntaxin-10	28.1	249	399	6	Ergic/cisGolgi	Low	1.7		5%	95%	Mostly Organellar	87,399	50.9	54.1	7.6
TMEM167A	Q8TBQ9	Protein kish-A	8.1	72	95	3	Ergic/cisGolgi	Low	2.4		6%	94%	Mostly Organellar	130,747	57.4	80.9	3.3
TTC3	P53804	E3 ubiquitin-protein ligase TTC3	229.9	2025	74	3	Ergic/cisGolgi	Low	1.7		0%	100%	Mostly Organellar	7,454	15.3	4.6	5.3
TVP23B	Q9NYZ1	Golgi apparatus membrane protein TVP23 homolog B	23.6	205	366	6	Ergic/cisGolgi	Low	2.9		1%	99%	Mostly Organellar	73,771	47.9	45.6	5.4
VTI1A	Q96AJ9	Vesicle transport through interaction with t-SNAREs homolog 1A	25.2	217	281	6	Ergic/cisGolgi	Low	1.9		4%	96%	Mostly Organellar	29,386	33.3	18.2	2.3
ATP2C1	P98194-7	Calcium-transporting ATPase type 2C member 1	107.1	973	2231	6	Ergic/cisGolgi	Very Low	0.7		0%	100%	Mostly Organellar	161,754	60.8	100.1	53.9
IPPK	Q9H8X2	Inositol-pentakisphosphate 2-kinase	56.0	491	329	6	Ergic/cisGolgi	Very Low	0.7		29%	71%	Broad distribution	59,951	44.3	37.1	10.4
KDELR1	P24390	ER lumen protein-retaining receptor 1	24.5	212	60	1	Ergic/cisGolgi	Very Low	0.9		0%	100%	Mostly Organellar	17,645	25.8	10.9	1.3
MARCKS	P29966	Myristoylated alanine-rich C-kinase substrate	31.6	332	2821	6	Ergic/cisGolgi	Very Low	0.5		73%	27%	Organellar and Cytosolic	7,519,899	97.4	4652.0	737.7
RDX	P35241	Radixin	68.6	583	3847	6	Ergic/cisGolgi	Very Low	0.2		32%	68%	Organellar and Cytosolic	2,160,833	92.0	1336.7	460.6
STX16	O14662-2	Syntaxin-16	34.8	304	384	6	Ergic/cisGolgi	Very Low	0.2		1%	99%	Mostly Organellar	62,579	45.0	38.7	6.8
TNFSF13	O75888	Tumor necrosis factor ligand superfamily member 13	27.4	250	45	1	Ergic/cisGolgi	Very Low	0.2		0%	100%	Mostly Organellar	4,152	10.1	2.6	0.4
TSPAN31	Q12999	Tetraspanin-31	23.1	210	85	1	Ergic/cisGolgi	Very Low	0.9		0%	100%	Mostly Organellar	7,857	16.0	4.9	0.6
USP46	P62068-2	Ubiquitin carboxyl-terminal hydrolase 46	26.2	225	94	4	Ergic/cisGolgi	Very Low	0.6		0%	100%	Mostly Organellar	13,146	22.0	8.1	1.1
YIF1A	O95070	Protein YIF1A	32.0	293	359	6	Ergic/cisGolgi	Very Low	0.5		3%	97%	Mostly Organellar	139,677	58.4	86.4	13.9
CANT1	Q8WVQ1	Soluble calcium-activated nucleotidase 1	44.8	401	512	6	Golgi	Very High	55.7		0%	100%	Mostly Organellar	68,316	46.5	42.3	9.5
EXTL2	Q9UBQ6	Exostosin-like 2	37.5	330	351	6	Golgi	Very High	54.3		4%	96%	Mostly Organellar	79,119	49.2	48.9	9.2
FAM20B	O75063	Glycosaminoglycan xylosylkinase	46.4	409	651	6	Golgi	Very High	83.3		0%	100%	Mostly Organellar	100,154	53.3	62.0	14.5
GALNT1	Q10472	Polypeptide N-acetylgalactosaminyltransferase 1	64.2	559	625	6	Golgi	Very High	53.8		1%	99%	Mostly Organellar	69,880	47.0	43.2	14.0
GALNT6	Q8NCL4	Polypeptide N-acetylgalactosaminyltransferase 6	71.2	622	998	6	Golgi	Very High	73.3		0%	100%	Mostly Organellar	150,150	59.5	92.9	33.2
GALNT7	Q86SF2	N-acetylgalactosaminyltransferase 7	75.4	657	2745	6	Golgi	Very High	72.3		1%	99%	Mostly Organellar	537,998	78.7	332.8	126.1
GLT8D2	Q9H1C3	Glycosyltransferase 8 domain-containing protein 2	40.0	349	185	5	Golgi	Very High	53.5		0%	100%	Mostly Organellar	28,948	33.1	17.9	3.6
GOLGB1	Q14789-2	Golgin subfamily B member 1	377.1	3269	8980	6	Golgi	Very High	57.9		1%	99%	Mostly Organellar	208,755	64.8	129.1	244.8
GOLIM4	O00461	Golgi integral membrane protein 4	81.9	696	2111	6	Golgi	Very High	55.6		1%	99%	Mostly Organellar	329,994	72.2	204.1	84.0
IMPAD1	Q9NX62	Inositol monophosphatase 3	38.7	359	976	6	Golgi	Very High	60.1		1%	99%	Mostly Organellar	263,832	68.6	163.2	31.7
MAN2A1	Q16706	Alpha-mannosidase 2	131.1	1144	1702	6	Golgi	Very High	74.1		0%	100%	Mostly Organellar	112,343	55.2	69.5	45.8
QSOX2	Q6ZRP7	Sulfhydryl oxidase 2	77.5	698	1336	6	Golgi	Very High	56.9		6%	94%	Mostly Organellar	151,026	59.6	93.4	36.4
SLC30A5	Q8TAD4	Zinc transporter 5	84.0	765	431	6	Golgi	Very High	75.9		0%	100%	Mostly Organellar	49,317	41.2	30.5	12.9
ACSL4	O60488	Long-chain-fatty-acid--CoA ligase 4	79.2	711	3327	6	Golgi	High	16		6%	94%	Mostly Organellar	557,988	79.2	345.2	137.4
AIFM2	Q9BRQ8	Apoptosis-inducing factor 2	40.5	373	932	6	Golgi	High	17.8		20%	80%	Organellar and Cytosolic	229,015	66.3	141.7	28.9
ARFRP1	Q13795	ADP-ribosylation factor-related protein 1	22.6	201	267	5	Golgi	High	50.5		0%	100%	Mostly Organellar	43,373	39.1	26.8	3.0
B4GALT1	P15291-2	Beta-1,4-galactosyltransferase 1	42.5	385	521	6	Golgi	High	17.4		0%	100%	Mostly Organellar	177,590	62.2	109.9	23.5
